OTUId	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Pmax-10	sample_S2-P_Pmax-08	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-04	sample_S2-P_Pmax-01	sample_S2-P_PO4-10	sample_S2-D_Pmax-10	sample_S2-P_PO4-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-09	sample_S2-P_Psoil-08	sample_S2-P_Psoil-06	sample_S2-D_Pmax-01	sample_S2-P_Psoil-04	sample_S2-P_Psoil-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-P_PO4-08	sample_S2-D_Pmax-09	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-P_PO4-03	sample_S2-D_PO4-09	sample_S2-D_Ind-02	sample_S2-D_PO4-08	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_Ind-05	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-P_PO4-02	sample_S2-D_Psoil-01	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Pmax-02	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-08	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Ind-01	sample_S2-P_Pmax-09	sample_S2-P_Pmax-07	sample_S2-P_Pmax-06	sample_S2-P_Pmax-03	sample_S2-P_Pmax-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-P_Psoil-10	sample_S2-D_Psoil-09	sample_S2-P_Psoil-07	sample_S2-D_Psoil-10	sample_S2-P_PO4-01	sample_S2-P_Psoil-05	sample_S2-D_Pmax-05	sample_S2-D_Pmax-04	sample_S2-D_Pmax-03	sample_S2-D_Pmax-07	sample_S2-P_PO4-07	sample_S2-D_PO4-07	sample_S2-D_Ind-06	sample_S2-D_Ind-04	sample_S2-D_PO4-04	sample_S2-D_Ind-07	sample_S2-D_PO4-03	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05
OTU_6;size=24103;	463	472	402	265	748	694	263	469	1038	292	879	180	439	113	154	198	250	151	725	71	159	138	303	251	333	365	128	182	125	227	68	396	91	80	508	561	76	220	293	285	363	206	105	305	524	521	357	276	370	301	184	434	735	892	358	324	309	253	155	308	344	208	461	230	219	193	113	231	316	453	43	84	473	549	77	364	98	344	547	205
OTU_2811;size=34;	21	16	10	6	8	8	12	21	14	17	12	15	3	9	23	15	10	6	3	4	5	5	13	11	4	1	6	15	7	2	2	4	8	4	9	7	6	11	9	24	25	30	13	12	6	36	14	10	9	11	9	17	12	12	8	8	8	18	7	21	34	31	46	13	11	4	5	4	10	4	2	4	5	5	8	2	3	5	3	13
OTU_4;size=72299;	639	724	503	362	248	200	198	329	2866	66	308	1123	895	599	96	37	39	19	1337	15	14	18	71	1169	664	657	2194	866	2027	780	954	1226	1462	1214	1485	1570	1638	3054	1402	1389	202	175	113	927	1561	2463	508	419	465	467	284	591	280	281	249	246	215	54	19	98	62	239	85	109	1265	63	373	764	1106	743	247	1463	1480	1514	1330	1073	1734	1079	1489	1182
OTU_10;size=10596;	203	255	185	140	173	115	65	132	113	150	182	489	6	280	87	56	56	53	10	24	87	47	110	493	7	6	167	349	173	22	87	57	118	94	54	61	116	279	622	598	88	74	43	44	71	1018	181	140	176	194	94	262	143	188	129	86	93	37	30	119	96	74	106	60	599	39	17	34	54	10	114	95	54	51	91	41	129	57	68	495
OTU_288;size=1234;	104	131	86	59	95	85	44	79	183	114	119	25	19	21	188	51	55	61	25	55	71	66	59	40	16	20	30	23	33	36	17	70	18	16	79	88	19	42	39	50	228	97	54	59	82	91	92	52	71	76	38	100	96	99	47	50	35	85	79	110	39	49	131	127	39	59	30	50	54	25	7	17	78	70	20	62	31	41	73	26
OTU_11;size=13502;	377	423	305	249	232	205	164	288	555	395	356	95	126	68	382	156	168	158	214	111	375	309	415	117	109	145	70	56	52	131	21	216	67	30	239	305	42	75	109	110	639	207	111	125	190	202	275	233	248	243	147	460	203	293	204	181	183	439	264	641	145	103	297	462	129	136	58	85	157	136	23	41	248	274	38	214	38	194	259	89
OTU_29;size=5574;	16	18	14	14	44	31	16	20	104	0	39	203	4	129	6	0	2	5	14	1	1	0	0	214	4	8	158	169	125	17	64	48	106	82	42	51	85	232	285	305	11	1	0	53	66	519	12	14	13	12	12	10	40	40	21	14	14	8	2	1	2	0	5	8	254	4	23	29	37	7	46	91	29	36	76	23	104	29	28	266
OTU_1153;size=16;	20	21	19	15	11	5	6	5	12	2	8	19	3	13	7	0	3	4	1	2	1	0	1	21	1	2	15	15	19	3	11	2	9	5	3	6	9	32	23	20	4	9	11	3	7	35	9	15	9	22	9	24	12	7	4	3	4	7	4	17	6	7	2	0	18	4	2	3	6	4	0	13	1	4	6	7	17	4	8	21
OTU_281;size=251;	1	1	0	2	3	0	4	8	1	9	4	7	1	3	7	6	4	1	1	2	5	5	11	6	0	0	3	3	2	0	1	1	2	1	0	1	0	1	4	3	14	5	3	0	0	8	4	1	0	0	2	1	0	0	8	9	4	14	8	15	3	9	17	10	10	6	0	0	1	0	0	1	1	0	0	0	0	1	1	8
OTU_3;size=66505;	274	382	304	217	200	228	175	362	551	87	331	1151	212	664	59	39	39	31	321	19	28	33	65	1273	176	177	765	950	739	146	375	215	485	422	270	315	520	1101	1546	1447	179	47	23	470	817	2689	268	203	231	238	165	322	215	248	291	229	262	65	38	120	38	20	71	111	1350	77	187	389	546	178	242	506	258	271	456	217	662	224	291	1224
