OTUId	sample_S2-D_Psoil-01	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Pmax-10	sample_S2-P_Pmax-09	sample_S2-P_Pmax-08	sample_S2-D_Pmax-02	sample_S2-P_Pmax-07	sample_S2-D_Psoil-07	sample_S2-D_Ind-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-P_Pmax-02	sample_S2-D_Pmax-10	sample_S2-P_Pmax-01	sample_S2-P_Psoil-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-06	sample_S2-D_Psoil-10	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-D_Pmax-05	sample_S2-P_PO4-07	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_PO4-04	sample_S2-D_Ind-06	sample_S2-D_Ind-05	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-D_Psoil-05	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-08	sample_S2-P_Ind-01	sample_S2-P_Pmax-06	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-P_Pmax-03	sample_S2-D_Psoil-04	sample_S2-P_PO4-10	sample_S2-P_PO4-09	sample_S2-P_Psoil-10	sample_S2-P_Psoil-08	sample_S2-P_PO4-02	sample_S2-P_Psoil-07	sample_S2-P_Psoil-05	sample_S2-P_Psoil-04	sample_S2-P_PO4-01	sample_S2-P_Psoil-03	sample_S2-D_Pmax-04	sample_S2-P_PO4-08	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-D_PO4-09	sample_S2-D_PO4-08	sample_S2-P_PO4-03	sample_S2-D_PO4-07	sample_S2-D_PO4-03	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-08
OTU_163;size=589;	97	2	0	3	7	0	0	3	2	2	1	3	6	0	35	1	3	1	0	6	3	0	6	213	2	6	6	3	8	1	4	0	0	3	1	1	6	5	8	1	1	6	3	1	0	8	18	1	12	3	5	1	2	0	0	2	4	14	5	3	3	3	2	4	7	1	1	3	1	2	1	5	2	5	1	0	3	1	4	2
OTU_329;size=182;	6	0	1	0	4	2	4	2	1	1	1	3	5	0	2	3	15	4	0	0	1	0	0	0	1	1	2	7	2	0	4	0	1	7	4	3	1	5	1	2	3	3	4	0	4	7	2	2	1	2	5	0	5	2	0	2	0	2	0	0	1	3	4	0	0	1	1	0	1	9	1	4	1	0	4	2	2	1	3	4
OTU_137;size=2133;	428	6	1	6	14	7	4	9	5	10	1	8	16	0	184	6	64	11	7	2	19	0	7	138	8	138	24	38	9	5	25	4	25	23	24	24	12	23	15	8	22	21	17	8	24	10	151	43	99	29	2	6	2	7	4	5	11	52	6	4	4	10	8	6	19	4	1	7	11	8	17	16	12	15	6	13	11	12	31	20
OTU_799;size=95;	1	0	1	1	1	0	0	1	2	0	0	0	0	1	0	2	4	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	3	0	2	0	2	4	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	4	5
OTU_1373;size=18;	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_255;size=293;	43	0	0	0	0	0	0	0	0	8	0	2	4	3	7	0	2	7	0	0	0	0	13	15	15	23	0	5	0	8	4	0	0	0	2	1	1	0	0	1	1	2	0	2	0	8	22	0	0	4	3	0	0	5	4	1	1	13	2	2	6	10	6	5	3	1	3	3	2	7	1	1	0	1	5	1	0	0	3	1
OTU_102;size=1840;	558	0	0	0	1	2	0	3	3	3	1	0	17	5	53	3	12	2	1	6	2	0	0	122	1	45	3	28	9	1	26	1	0	7	8	6	7	7	2	0	6	10	4	0	7	3	47	0	0	32	3	2	1	1	6	5	14	15	3	1	0	1	3	2	2	0	4	49	6	9	1	9	8	10	11	4	4	2	10	10
OTU_684;size=119;	13	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	2	0	0	0	0	5	7	6	1	0	2	2	5	2	0	0	0	0	1	0	0	0	0	0	2	0	6	0	0	5	0	0	1	0	0	0	0	3	0	0	5	1	1	7	5	0	9	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1
OTU_25;size=4471;	1299	0	5	0	3	1	3	1	0	38	16	22	101	13	93	18	53	2	0	9	6	12	0	40	2	384	2	120	16	1	85	11	3	5	32	27	44	41	40	13	12	50	26	18	24	35	490	17	20	141	23	0	0	35	16	8	21	443	18	11	1	0	35	1	33	96	24	23	45	34	2	33	25	29	21	27	39	4	21	10
OTU_7108;size=36;	429	22	15	29	49	40	15	37	12	65	37	30	23	22	112	4	20	53	5	8	4	23	186	70	73	167	5	55	26	47	32	41	0	2	17	7	23	23	39	4	5	55	28	145	6	133	202	8	18	37	151	28	34	47	29	17	44	129	176	69	44	118	162	49	21	18	85	11	5	118	6	13	14	25	133	17	20	1	6	4
