OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-D_Psoil-06	sample_S2-D_Psoil-07	sample_S2-P_PO4-01	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-06	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-06	sample_S2-D_Ind-08	sample_S2-D_PO4-01	sample_S2-D_PO4-02	sample_S2-D_PO4-05	sample_S2-D_PO4-06	sample_S2-D_PO4-08	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-05	sample_S2-P_PO4-09	sample_S2-P_Ind-05	sample_S2-P_Ind-06	sample_S2-P_Ind-09	sample_S2-P_Ind-10	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-02	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-04	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Ind-02	sample_S2-P_Ind-03	sample_S2-P_Ind-07	sample_S2-P_Ind-08	sample_S2-P_Psoil-01	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-P_Psoil-04	sample_S2-D_Pmax-10	sample_S2-D_Ind-01	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-03	sample_S2-D_PO4-04	sample_S2-D_PO4-07	sample_S2-P_PO4-08	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-05	sample_S2-D_Pmax-08
OTU_262;size=1162;	57	7	50	5	14	37	77	11	12	29	2	5	31	24	4	3	10	96	14	16	22	9	22	49	2	2	20	25	32	77	54	23	53	38	32	24	27	60	78	55	0	3	11	6	10	9	10	18	40	25	47	28	35	6	5	1	3	6	15	0	2	2	4	16	8	7	27	10	19	4	35	15	63	0	1	1	16	8	8	6
OTU_12;size=20080;	180	37	108	132	192	97	181	340	19	36	137	132	101	69	173	254	328	233	57	79	117	17	108	165	20	86	28	449	620	1092	914	51	106	216	47	100	201	272	1379	796	0	123	54	70	110	32	11	59	191	388	746	478	729	28	62	42	17	278	740	238	123	136	202	693	421	53	108	78	57	76	161	67	85	62	130	330	62	13	84	223
OTU_2020;size=62;	5	1	0	1	1	1	2	0	0	0	0	0	2	0	0	0	2	9	0	1	0	0	30	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	1	0	0	1	3	0	0	0	0	0	0	0	3	3	4	10	0	0	0	0	1
OTU_1130;size=139;	35	1	20	0	0	0	3	0	1	1	0	0	0	1	0	0	1	0	5	3	11	2	0	6	0	0	0	0	0	0	0	1	8	7	0	5	4	5	0	0	0	4	2	0	0	0	0	5	3	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	7	19	2	0	57	0	0	0	2	0	2	1
OTU_2571;size=51;	22	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	3	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	7	0	1	14	0	0	0	1	0	0	0
OTU_56;size=4645;	258	25	80	108	111	155	442	9	42	49	3	4	154	115	4	12	23	15	25	60	84	35	63	12	45	62	65	43	69	118	92	174	219	175	149	110	213	203	164	73	1	60	110	149	65	63	86	127	152	28	73	49	88	16	40	39	12	11	50	10	6	9	16	32	32	102	98	26	42	27	189	49	117	0	0	330	40	15	22	12
OTU_33;size=19029;	311	81	121	11	14	531	1192	29	122	136	13	14	493	296	16	24	32	506	119	121	235	85	119	358	130	73	219	54	85	148	127	535	478	1017	339	704	1058	1271	215	117	0	177	169	151	18	113	134	212	1061	48	98	65	107	36	9	123	16	37	47	14	13	12	11	44	50	316	431	141	93	127	616	134	294	8	14	149	146	55	25	24
OTU_682;size=369;	23	1	2	3	1	4	6	27	8	6	29	10	0	0	8	3	10	2	5	10	26	6	11	0	1	0	0	1	2	8	3	2	0	1	0	1	0	3	6	2	0	5	0	0	0	1	9	4	7	2	2	2	3	0	0	0	0	32	18	9	5	6	2	21	7	5	1	7	1	8	6	1	31	0	4	12	5	8	1	23
OTU_14324;size=288;	668	96	7316	0	3	1971	2808	10	32	39	6	3	1095	909	3	7	10	65	38	42	112	32	40	88	661	14	798	12	14	36	9	1936	133	211	54	180	245	342	10	12	0	55	1	0	3	19	30	70	194	3	16	8	9	177	1	48	5	11	14	4	0	5	9	10	5	1260	2078	29	41	40	2786	171	287	3	0	5	26	48	10	19
OTU_1;size=97030;	88	35	9	0	3	2866	5043	1	53	55	1	0	2069	1490	6	23	19	75	22	17	24	21	6	49	762	319	1273	5769	5881	9082	7515	2892	2122	1690	1111	1255	1877	2256	10941	7322	2	908	1536	2565	109	503	601	636	1648	3740	7466	4712	5880	414	4	98	33	11	22	17	9	11	7	22	16	1397	2423	25	25	30	3448	28	10	7	15	391	84	43	12	3
