Name	Subplot	Sample	Method	Rep
S2-D_Psoil-01	S2-D	D_Psoil	Psoil	01
S2-D_Psoil-02	S2-D	D_Psoil	Psoil	02
S2-D_Psoil-03	S2-D	D_Psoil	Psoil	03
S2-D_Psoil-04	S2-D	D_Psoil	Psoil	04
S2-D_Psoil-05	S2-D	D_Psoil	Psoil	05
S2-D_Psoil-06	S2-D	D_Psoil	Psoil	06
S2-D_Psoil-07	S2-D	D_Psoil	Psoil	07
S2-D_Psoil-08	S2-D	D_Psoil	Psoil	08
S2-D_Psoil-09	S2-D	D_Psoil	Psoil	09
S2-D_Psoil-10	S2-D	D_Psoil	Psoil	10
S2-D_Pmax-01	S2-D	D_Pmax	Pmax	01
S2-D_Pmax-02	S2-D	D_Pmax	Pmax	02
S2-D_Pmax-03	S2-D	D_Pmax	Pmax	03
S2-D_Pmax-04	S2-D	D_Pmax	Pmax	04
S2-D_Pmax-05	S2-D	D_Pmax	Pmax	05
S2-D_Pmax-06	S2-D	D_Pmax	Pmax	06
S2-D_Pmax-07	S2-D	D_Pmax	Pmax	07
S2-D_Pmax-08	S2-D	D_Pmax	Pmax	08
S2-D_Pmax-09	S2-D	D_Pmax	Pmax	09
S2-D_Pmax-10	S2-D	D_Pmax	Pmax	10
S2-D_Ind-01	S2-D	D_Ind	Ind	01
S2-D_Ind-02	S2-D	D_Ind	Ind	02
S2-D_Ind-03	S2-D	D_Ind	Ind	03
S2-D_Ind-04	S2-D	D_Ind	Ind	04
S2-D_Ind-05	S2-D	D_Ind	Ind	05
S2-D_Ind-06	S2-D	D_Ind	Ind	06
S2-D_Ind-07	S2-D	D_Ind	Ind	07
S2-D_Ind-08	S2-D	D_Ind	Ind	08
S2-D_Ind-09	S2-D	D_Ind	Ind	09
S2-D_Ind-10	S2-D	D_Ind	Ind	10
S2-D_PO4-01	S2-D	D_PO4	PO4	01
S2-D_PO4-02	S2-D	D_PO4	PO4	02
S2-D_PO4-03	S2-D	D_PO4	PO4	03
S2-D_PO4-04	S2-D	D_PO4	PO4	04
S2-D_PO4-05	S2-D	D_PO4	PO4	05
S2-D_PO4-06	S2-D	D_PO4	PO4	06
S2-D_PO4-07	S2-D	D_PO4	PO4	07
S2-D_PO4-08	S2-D	D_PO4	PO4	08
S2-D_PO4-09	S2-D	D_PO4	PO4	09
S2-D_PO4-10	S2-D	D_PO4	PO4	10
S2-P_Psoil-01	S2-P	P_Psoil	Psoil	01
S2-P_Psoil-02	S2-P	P_Psoil	Psoil	02
S2-P_Psoil-03	S2-P	P_Psoil	Psoil	03
S2-P_Psoil-04	S2-P	P_Psoil	Psoil	04
S2-P_Psoil-05	S2-P	P_Psoil	Psoil	05
S2-P_Psoil-06	S2-P	P_Psoil	Psoil	06
S2-P_Psoil-07	S2-P	P_Psoil	Psoil	07
S2-P_Psoil-08	S2-P	P_Psoil	Psoil	08
S2-P_Psoil-09	S2-P	P_Psoil	Psoil	09
S2-P_Psoil-10	S2-P	P_Psoil	Psoil	10
S2-P_Pmax-01	S2-P	P_Pmax	Pmax	01
S2-P_Pmax-02	S2-P	P_Pmax	Pmax	02
S2-P_Pmax-03	S2-P	P_Pmax	Pmax	03
S2-P_Pmax-04	S2-P	P_Pmax	Pmax	04
S2-P_Pmax-05	S2-P	P_Pmax	Pmax	05
S2-P_Pmax-06	S2-P	P_Pmax	Pmax	06
S2-P_Pmax-07	S2-P	P_Pmax	Pmax	07
S2-P_Pmax-08	S2-P	P_Pmax	Pmax	08
S2-P_Pmax-09	S2-P	P_Pmax	Pmax	09
S2-P_Pmax-10	S2-P	P_Pmax	Pmax	10
S2-P_Ind-01	S2-P	P_Ind	Ind	01
S2-P_Ind-02	S2-P	P_Ind	Ind	02
S2-P_Ind-03	S2-P	P_Ind	Ind	03
S2-P_Ind-04	S2-P	P_Ind	Ind	04
S2-P_Ind-05	S2-P	P_Ind	Ind	05
S2-P_Ind-06	S2-P	P_Ind	Ind	06
S2-P_Ind-07	S2-P	P_Ind	Ind	07
S2-P_Ind-08	S2-P	P_Ind	Ind	08
S2-P_Ind-09	S2-P	P_Ind	Ind	09
S2-P_Ind-10	S2-P	P_Ind	Ind	10
S2-P_PO4-01	S2-P	P_PO4	PO4	01
S2-P_PO4-02	S2-P	P_PO4	PO4	02
S2-P_PO4-03	S2-P	P_PO4	PO4	03
S2-P_PO4-04	S2-P	P_PO4	PO4	04
S2-P_PO4-05	S2-P	P_PO4	PO4	05
S2-P_PO4-06	S2-P	P_PO4	PO4	06
S2-P_PO4-07	S2-P	P_PO4	PO4	07
S2-P_PO4-08	S2-P	P_PO4	PO4	08
S2-P_PO4-09	S2-P	P_PO4	PO4	09
S2-P_PO4-10	S2-P	P_PO4	PO4	10
