OTUid	path	rank2	superkingdom	majorclade	kingdom	subkingdom	subeuk	division	subdivision	superphylum	phylum	subphylum	class	subclass	superorder	order	suborder	family	subfamily	genus
OTU_1388;size_19;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_1989;size_7;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_2087;size_11;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_3187;size_3;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_4083;size_4;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_4763;size_2;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_872;size_49;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_1742;size_9;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_1443;size_19;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_1568;size_27;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_2846;size_4;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_2880;size_7;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_3227;size_8;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_3239;size_7;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_3260;size_3;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_3624;size_5;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_3875;size_2;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_4064;size_2;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_4755;size_2;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_4831;size_2;	"root;cellular organisms;Bacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
OTU_1292;size_71;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
OTU_1551;size_29;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
OTU_1597;size_24;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
OTU_3184;size_3;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
OTU_3584;size_5;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
OTU_4389;size_2;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
OTU_4392;size_2;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria
OTU_1715;size_22;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteridae	Actinobacteridae	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales
OTU_1761;size_25;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteridae	Actinobacteridae	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales
OTU_2646;size_8;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteridae	Actinobacteridae	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales
OTU_2833;size_13;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteridae	Actinobacteridae	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales
OTU_3926;size_6;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteridae	Actinobacteridae	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales
OTU_4563;size_2;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteridae	Actinobacteridae	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales
OTU_4853;size_2;	"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	cellular organisms	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Actinobacteria <phylum>	Actinobacteria <phylum>	Actinobacteria	Actinobacteridae	Actinobacteridae	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales
