OTUid	path	rank2	superkingdom	majorclade	kingdom	subkingdom	subeuk	division	subdivision	superphylum	phylum	subphylum	class	subclass	superorder	order	suborder	family	subfamily	genus
OTU_757;size_66;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_3240;size_2;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_2693;size_5;	"root;cellular organisms;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;"	cellular organisms	Archaea	Archaea	Archaea	Archaea	Archaea	Archaea	Archaea	Archaea	Euryarchaeota	Euryarchaeota	Methanobacteria	Methanobacteria	Methanobacteria	Methanobacteriales	Methanobacteriales	Methanobacteriaceae	Methanobacteriaceae	Methanobrevibacter
OTU_4075;size_2;	"root;cellular organisms;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;"	cellular organisms	Archaea	Archaea	Archaea	Archaea	Archaea	Archaea	Archaea	Archaea	Euryarchaeota	Euryarchaeota	Methanobacteria	Methanobacteria	Methanobacteria	Methanobacteriales	Methanobacteriales	Methanobacteriaceae	Methanobacteriaceae	Methanobrevibacter
OTU_13;size_6470;	"root;cellular organisms;Eukaryota;"	cellular organisms	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota
OTU_71;size_1243;	"root;cellular organisms;Eukaryota;"	cellular organisms	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota
OTU_158;size_684;	"root;cellular organisms;Eukaryota;"	cellular organisms	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota
OTU_181;size_318;	"root;cellular organisms;Eukaryota;"	cellular organisms	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota
OTU_193;size_484;	"root;cellular organisms;Eukaryota;"	cellular organisms	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota
OTU_200;size_324;	"root;cellular organisms;Eukaryota;"	cellular organisms	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota
